,full name,email,job applied for,got offer?
1,Sophia Johnson,sophia23@mailinator.com,software developer,yes
2,Oliver Rodriguez,oliver_rdz@mailinator.com,software developer,no
3,Ava Patel,ava_pate123@mailinator.com,software developer,no
4,Liam Nguyen,liam_ngo@mailinator.com,software developer,no
5,Isabella Gonzales,isabella_gz@mailinator.com,lead software engineer,no
6,William Smith,will_smith88@mailinator.com,lead software engineer,yes
7,Emma Williams,emma_wills27@mailinator.com,HR lead,yes
8,Noah Brown,noah_brownie@mailinator.com,HR lead,no
9,Mia Garcia,mia_garcia99@mailinator.com,senior marketing specialist,yes
10,Elijah Martinez,elijah_mtz@mailinator.com,senior marketing specialist,yes
11,Charlotte Anderson,charlotte_a23@mailinator.com,senior marketing specialist,no
12,James Davis,james_davies@mailinator.com,italian translator,yes
13,Amelia Wilson,amelia_wils567@mailinator.com,italian translator,no
14,Ethan Thomas,ethan_thom@mailinator.com,ux designer,yes
15,Harper Moore,harper_moore12@mailinator.com,ux designer,yes
